Date_Start,Start Time (Sask),Start Time (EDT),Away,Away Score,Home,Home Score,Status,Away Starter,Home Starter,Winner,Loser,Save,O/U,Over,Under,Away ML,Home ML,Home RL Spread,RL Away,RL Home
2025-03-29 16:10:00,2:10 PM,4:10 PM,Cleveland Guardians,3,Kansas City Royals,4,Final,Gavin Williams,Seth Lugo,Daniel Lynch IV,Paul Sewald,Carlos Estévez,8.5,100,-120,+155,-185,-1.5,-130,+110
2025-03-29 16:10:00,2:10 PM,4:10 PM,Cleveland Guardians,3,Kansas City Royals,4,Final,Gavin Williams,Seth Lugo,Daniel Lynch IV,Paul Sewald,Carlos Estévez,8.5,-120,100,-120,+100,+1.5,+135,-160
2025-03-29 16:10:00,2:10 PM,4:10 PM,San Francisco Giants,2,Cincinnati Reds,3,Final,Justin Verlander,Nick Lodolo,Nick Lodolo,Spencer Bivens,Emilio Pagán,8.5,-125,105,-105,-115,-1.5,-210,+175
2025-03-29 16:10:00,2:10 PM,4:10 PM,San Francisco Giants,2,Cincinnati Reds,3,Final,Justin Verlander,Nick Lodolo,Nick Lodolo,Spencer Bivens,Emilio Pagán,8.5,-115,-105,+100,-120,-1.5,-200,+165
2025-03-29 16:10:00,2:10 PM,4:10 PM,San Francisco Giants,2,Cincinnati Reds,3,Final,Justin Verlander,Nick Lodolo,Nick Lodolo,Spencer Bivens,Emilio Pagán,8.5,100,-120,+155,-185,-1.5,-130,+110
2025-03-29 16:10:00,2:10 PM,4:10 PM,San Francisco Giants,2,Cincinnati Reds,3,Final,Justin Verlander,Nick Lodolo,Nick Lodolo,Spencer Bivens,Emilio Pagán,8.5,-120,100,-120,+100,+1.5,+135,-160
2025-03-29 16:10:00,2:10 PM,4:10 PM,Colorado Rockies,2,Tampa Bay Rays,1,Final,Antonio Senzatela,Zack Littell,Luis Peralta,Zack Littell,Seth Halvorsen,8.5,-125,105,-105,-115,-1.5,-210,+175
2025-03-29 16:10:00,2:10 PM,4:10 PM,Colorado Rockies,2,Tampa Bay Rays,1,Final,Antonio Senzatela,Zack Littell,Luis Peralta,Zack Littell,Seth Halvorsen,8.5,-115,-105,+100,-120,-1.5,-200,+165
2025-03-29 16:10:00,2:10 PM,4:10 PM,Colorado Rockies,2,Tampa Bay Rays,1,Final,Antonio Senzatela,Zack Littell,Luis Peralta,Zack Littell,Seth Halvorsen,8.5,100,-120,+155,-185,-1.5,-130,+110
2025-03-29 16:10:00,2:10 PM,4:10 PM,Colorado Rockies,2,Tampa Bay Rays,1,Final,Antonio Senzatela,Zack Littell,Luis Peralta,Zack Littell,Seth Halvorsen,8.5,-120,100,-120,+100,+1.5,+135,-160
2025-03-29 16:10:00,2:10 PM,4:10 PM,Pittsburgh Pirates,4,Miami Marlins,5,Final,Bailey Falter,Valente Bellozo,George Soriano,Joey Wentz,No Save,8.5,-125,105,-105,-115,-1.5,-210,+175
2025-03-29 16:10:00,2:10 PM,4:10 PM,Pittsburgh Pirates,4,Miami Marlins,5,Final,Bailey Falter,Valente Bellozo,George Soriano,Joey Wentz,No Save,8.5,-115,-105,+100,-120,-1.5,-200,+165
2025-03-29 16:10:00,2:10 PM,4:10 PM,Pittsburgh Pirates,4,Miami Marlins,5,Final,Bailey Falter,Valente Bellozo,George Soriano,Joey Wentz,No Save,8.5,100,-120,+155,-185,-1.5,-130,+110
2025-03-29 16:10:00,2:10 PM,4:10 PM,Pittsburgh Pirates,4,Miami Marlins,5,Final,Bailey Falter,Valente Bellozo,George Soriano,Joey Wentz,No Save,8.5,-120,100,-120,+100,+1.5,+135,-160
2025-03-29 19:05:00,5:05 PM,7:05 PM,Boston Red Sox,3,Texas Rangers,4,Final,Walker Buehler,Tyler Mahle,Hoby Milner,Walker Buehler,Chris Martin,9.0,-105,-115,-105,-115,-1.5,-205,+170
2025-03-29 19:15:00,5:15 PM,7:15 PM,New York Mets,1,Houston Astros,2,Final,Griffin Canning,Spencer Arrighetti,Spencer Arrighetti,Griffin Canning,Josh Hader,8.5,-120,100,+100,-120,-1.5,-200,+165
2025-03-29 19:15:00,5:15 PM,7:15 PM,New York Mets,1,Houston Astros,2,Final,Griffin Canning,Spencer Arrighetti,Spencer Arrighetti,Griffin Canning,Josh Hader,8.0,-105,-115,-155,+130,+1.5,+110,-130
2025-03-29 19:15:00,5:15 PM,7:15 PM,Atlanta Braves,0,San Diego Padres,1,Final,Spencer Schwellenbach,Randy Vásquez,Wandy Peralta,Aaron Bummer,Adrian Morejon,8.5,-120,100,+100,-120,-1.5,-200,+165
